2025-02-23 22:42:13.157730945[CLIENT]Registered class clazz dawncraft:brawler
2025-02-23 22:42:13.158118598[CLIENT]Registered class clazz dawncraft:warrior
2025-02-23 22:42:13.158176017[CLIENT]Registered class clazz dawncraft:berserker
2025-02-23 22:42:13.158214729[CLIENT]Registered class clazz dawncraft:roamer
2025-02-23 22:42:13.158243624[CLIENT]Registered class clazz dawncraft:lancer
2025-02-23 22:42:13.15827107[CLIENT]Registered class clazz dawncraft:ronin
2025-02-23 22:42:13.158335866[CLIENT]Registered class clazz dawncraft:astrologer
2025-02-23 22:42:13.158370651[CLIENT]Registered class clazz dawncraft:tank
2025-02-23 22:43:56.969446125[CLIENT]Serialized class dawncraft:brawler as {"index":5,"starting_skills":["epicfight:roll","epicfight:hypervitality"],"items":[{"id":"minecraft:chainmail_chestplate","count":1,"nbt":"{Damage:0}","slot":"chest"},{"id":"epicfight:glove","count":1,"nbt":"{Damage:0}","slot":"offhand"},{"id":"epicfight:glove","count":1,"nbt":"{Damage:0}","slot":"mainhand"},{"id":"minecraft:bread","count":6,"slot":"mainhand"}],"attributes":{"minecraft:generic.max_health":24.0,"paraglider:max_stamina":28.0},"commands":[],"animation":"epicfight:biped/combat/fist_auto3","offset":[0.0,0.0]}
2025-02-23 22:43:56.969618558[CLIENT]Serialized class dawncraft:warrior as {"index":0,"starting_skills":["epicfight:roll"],"items":[{"id":"minecraft:leather_chestplate","count":1,"nbt":"{Damage:0}","slot":"chest"},{"id":"minecraft:stone_sword","count":1,"nbt":"{Damage:0}","slot":"mainhand"},{"id":"minecraft:bread","count":6,"slot":"mainhand"}],"attributes":{"minecraft:generic.max_health":22.0,"paraglider:max_stamina":32.0},"commands":[],"animation":"epicfight:biped/combat/sword_auto3","offset":[0.0,0.0]}
2025-02-23 22:43:56.969693838[CLIENT]Serialized class dawncraft:berserker as {"index":1,"starting_skills":["epicfight:roll","epicfight:berserker","epicfight:forbidden_strength"],"items":[{"id":"epicfight:stone_greatsword","count":1,"nbt":"{Damage:0}","slot":"mainhand"},{"id":"minecraft:bread","count":6,"slot":"mainhand"}],"attributes":{"minecraft:generic.max_health":20.0,"paraglider:max_stamina":25.0},"commands":[],"animation":"epicfight:biped/combat/greatsword_auto1","offset":[0.0,0.0]}
2025-02-23 22:43:56.969752802[CLIENT]Serialized class dawncraft:roamer as {"index":4,"starting_skills":["epicfight:roll","epicfight:emergency_escape"],"items":[{"id":"jet_and_elias_armors:highlander_set_chestplate","count":1,"nbt":"{Damage:0}","slot":"chest"},{"id":"minecraft:bow","count":1,"nbt":"{Damage:0}","slot":"mainhand"},{"id":"nyfsquiver:basic_quiver","count":1,"nbt":"{Damage:0}","slot":"curios:quiver"},{"id":"minecraft:arrow","count":64,"slot":"mainhand"},{"id":"minecraft:bread","count":10,"slot":"mainhand"}],"attributes":{"minecraft:generic.max_health":17.0,"paraglider:max_stamina":42.0},"commands":[],"animation":"epicfight:biped/combat/bow_shot_mid","offset":[0.0,0.0]}
2025-02-23 22:43:56.969848982[CLIENT]Serialized class dawncraft:lancer as {"index":3,"starting_skills":["epicfight:step","epicfight:revelation"],"items":[{"id":"magistuarmory:rustedkettlehat","count":1,"nbt":"{Damage:0}","slot":"head"},{"id":"magistuarmory:stone_ranseur","count":1,"nbt":"{Damage:0}","slot":"mainhand"},{"id":"minecraft:bread","count":6,"slot":"mainhand"}],"attributes":{"minecraft:generic.max_health":20.0,"paraglider:max_stamina":28.0},"commands":[],"animation":"epicfight:biped/combat/spear_twohand_auto1","offset":[0.0,0.0]}
2025-02-23 22:43:56.969905134[CLIENT]Serialized class dawncraft:ronin as {"index":6,"starting_skills":["epicfight:roll","epicfight:parrying","epicfight:technician"],"items":[{"id":"jet_and_elias_armors:outrider_set_helmet","count":1,"nbt":"{Damage:0}","slot":"head"},{"id":"epicfight:uchigatana","count":1,"nbt":"{Damage:0}","slot":"mainhand"},{"id":"minecraft:bread","count":6,"slot":"mainhand"}],"attributes":{"minecraft:generic.max_health":16.0,"paraglider:max_stamina":28.0},"commands":[],"animation":"epicfight:biped/combat/uchigatana_auto1","offset":[0.0,0.0]}
2025-02-23 22:43:56.969972071[CLIENT]Serialized class dawncraft:astrologer as {"index":5,"starting_skills":["epicfight:roll","wom:ender_step"],"items":[{"id":"irons_spellbooks:wandering_magician_helmet","count":1,"nbt":"{Damage:0}","slot":"head"},{"id":"irons_spellbooks:wandering_magician_chestplate","count":1,"nbt":"{Damage:0}","slot":"chest"},{"id":"irons_spellbooks:iron_spell_book","count":1,"nbt":"{ISB_spellbook:{activeSpellIndex:0,spellSlots:5,spells:[{id:4,level:1,slot:0},{id:7,level:1,slot:1},{id:16,level:1,slot:2},{id:19,level:1,slot:3}]}}","slot":"mainhand"},{"id":"minecraft:bread","count":6,"slot":"mainhand"}],"attributes":{"minecraft:generic.max_health":16.0,"paraglider:max_stamina":20.0},"commands":[],"animation":"wom:biped/skill/enderstep_forward","offset":[0.0,-10.0]}
2025-02-23 22:43:56.970042609[CLIENT]Serialized class dawncraft:tank as {"index":2,"starting_skills":["epicfight:roll","epicfight:endurance"],"items":[{"id":"minecraft:chainmail_chestplate","count":1,"nbt":"{Damage:0}","slot":"chest"},{"id":"minecraft:shield","count":1,"nbt":"{Damage:0}","slot":"offhand"},{"id":"magistuarmory:wood_morgenstern","count":1,"nbt":"{Damage:0}","slot":"mainhand"},{"id":"minecraft:bread","count":6,"slot":"mainhand"}],"attributes":{"minecraft:generic.max_health":30.0,"paraglider:max_stamina":18.0},"commands":[],"animation":"epicfight:biped/combat/sword_auto1","offset":[0.0,0.0]}
2025-02-23 22:44:17.223815174[CLIENT]Applying skill epicfight:roll to player sglre6355
2025-02-23 22:44:17.224715022[CLIENT]Applying skill epicfight:parrying to player sglre6355
2025-02-23 22:44:17.228145344[CLIENT]Applying skill epicfight:technician to player sglre6355
2025-02-23 22:44:17.229338138[CLIENT]Applying dawncraft:ronin modifiers to player sglre6355
2025-02-23 22:44:17.231345283[CLIENT]Applying attribute minecraft:generic.max_health with value 16.0 to player sglre6355
2025-02-23 22:44:17.232598762[CLIENT]Applying attribute paraglider:max_stamina with value 28.0 to player sglre6355
2025-02-23 22:44:17.234017389[CLIENT]Attribute is paraglider:max_stamina, removing 28.0 points as default.
2025-02-23 22:44:17.234388904[CLIENT]set 1 outrider_set_helmet to slot head
2025-02-23 22:44:17.234646715[CLIENT]set 1 uchigatana to slot mainhand
2025-02-23 22:44:17.234804936[CLIENT]set 6 bread to slot mainhand
2025-02-23 22:44:17.236097127[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 22:44:17.236318192[CLIENT]Set player sglre6355 to class dawncraft:ronin
2025-02-23 22:59:51.865729537[CLIENT]Applying dawncraft:ronin modifiers to player sglre6355
2025-02-23 22:59:51.865894914[CLIENT]Applying attribute minecraft:generic.max_health with value 16.0 to player sglre6355
2025-02-23 22:59:51.865947921[CLIENT]Applying attribute paraglider:max_stamina with value 28.0 to player sglre6355
2025-02-23 22:59:51.865983727[CLIENT]Attribute is paraglider:max_stamina, removing 28.0 points as default.
2025-02-23 23:19:48.385636613[CLIENT]Applying dawncraft:ronin modifiers to player sglre6355
2025-02-23 23:19:48.385778585[CLIENT]Applying attribute minecraft:generic.max_health with value 16.0 to player sglre6355
2025-02-23 23:19:48.385813281[CLIENT]Applying attribute paraglider:max_stamina with value 28.0 to player sglre6355
2025-02-23 23:19:48.385861234[CLIENT]Attribute is paraglider:max_stamina, removing 28.0 points as default.
2025-02-23 23:22:25.570455283[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:22:25.738327245[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:22:26.337744208[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:22:26.637027416[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:26:38.086623158[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:26:38.838285444[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:26:38.844328272[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:26:40.268246408[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:26:40.302979028[CLIENT]Applying dawncraft:ronin modifiers to player sglre6355
2025-02-23 23:26:40.303087528[CLIENT]Applying attribute minecraft:generic.max_health with value 16.0 to player sglre6355
2025-02-23 23:26:40.303119611[CLIENT]Applying attribute paraglider:max_stamina with value 28.0 to player sglre6355
2025-02-23 23:26:40.30315898[CLIENT]Attribute is paraglider:max_stamina, removing 28.0 points as default.
2025-02-23 23:27:40.09318738[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:40.095577827[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:40.135432131[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:40.13614565[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:40.190648963[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:40.191227879[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:40.233117318[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:40.233954907[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:40.292785462[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:40.293503629[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:40.337686929[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:40.338559778[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:40.387197687[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:40.387938415[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:40.437779895[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:40.43884731[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:40.489578703[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:40.490330171[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:40.537532427[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:40.538374757[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:40.591126026[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:40.592006881[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:40.63764658[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:40.638208689[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:40.690416101[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:40.690838698[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:40.738591183[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:40.739328351[CLIENT]Running dawncraft:ronin commands for player sglre6355
2025-02-23 23:27:40.789419458[CLIENT]Running dawncraft:ronin commands for player sglre6355
